Found 30 n=12 files in /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set
Notebook log file: logs/notebook_20260121_123622.log
Notebook csv file (append): logs/notebook_outputs.csv
Found 846 files in /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set
Found 30 n=12 files in /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set
                                                                                                                                              path                                                    stem                                                                                                                                                 log_file             stage2_backend  n  k   m  ell  eps  kappa  rho  failed  len_z_hat  eval_advantage  eval_hamming_frac  eval_correlation
/Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m116_ell2_eps0.25_kappa0.75_rho0.0.npz kxor_instance_n12_k2_m116_ell2_eps0.25_kappa0.75_rho0.0 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m116_ell2_eps0.25_kappa0.75_rho0.0.log schmidhuber_stage2_circuit 12  2 116    2 0.25  0.750  0.0   False         12        0.120690                NaN               NaN
/Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m116_ell2_eps0.25_kappa0.75_rho0.2.npz kxor_instance_n12_k2_m116_ell2_eps0.25_kappa0.75_rho0.2 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m116_ell2_eps0.25_kappa0.75_rho0.2.log schmidhuber_stage2_circuit 12  2 116    2 0.25  0.750  0.2   False         12        0.241379           0.166667          0.666667
/Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m116_ell2_eps0.25_kappa0.75_rho0.4.npz kxor_instance_n12_k2_m116_ell2_eps0.25_kappa0.75_rho0.4 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m116_ell2_eps0.25_kappa0.75_rho0.4.log schmidhuber_stage2_circuit 12  2 116    2 0.25  0.750  0.4   False         12        0.241379           0.250000          0.500000
/Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m116_ell2_eps0.25_kappa0.75_rho0.6.npz kxor_instance_n12_k2_m116_ell2_eps0.25_kappa0.75_rho0.6 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m116_ell2_eps0.25_kappa0.75_rho0.6.log schmidhuber_stage2_circuit 12  2 116    2 0.25  0.750  0.6   False         12        0.534483           0.083333          0.833333
/Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m116_ell2_eps0.25_kappa0.75_rho0.8.npz kxor_instance_n12_k2_m116_ell2_eps0.25_kappa0.75_rho0.8 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m116_ell2_eps0.25_kappa0.75_rho0.8.log schmidhuber_stage2_circuit 12  2 116    2 0.25  0.750  0.8   False         12        0.862069           0.000000          1.000000
/Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m116_ell2_eps0.25_kappa0.75_rho1.0.npz kxor_instance_n12_k2_m116_ell2_eps0.25_kappa0.75_rho1.0 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m116_ell2_eps0.25_kappa0.75_rho1.0.log schmidhuber_stage2_circuit 12  2 116    2 0.25  0.750  1.0   False         12        1.000000           0.000000          1.000000
  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m75_ell2_eps0.25_kappa1.0_rho0.0.npz   kxor_instance_n12_k2_m75_ell2_eps0.25_kappa1.0_rho0.0   /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m75_ell2_eps0.25_kappa1.0_rho0.0.log schmidhuber_stage2_circuit 12  2  75    2 0.25  1.000  0.0   False         12        0.040000                NaN               NaN
  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m75_ell2_eps0.25_kappa1.0_rho0.2.npz   kxor_instance_n12_k2_m75_ell2_eps0.25_kappa1.0_rho0.2   /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m75_ell2_eps0.25_kappa1.0_rho0.2.log schmidhuber_stage2_circuit 12  2  75    2 0.25  1.000  0.2   False         12        0.253333           0.333333          0.333333
  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m75_ell2_eps0.25_kappa1.0_rho0.4.npz   kxor_instance_n12_k2_m75_ell2_eps0.25_kappa1.0_rho0.4   /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m75_ell2_eps0.25_kappa1.0_rho0.4.log schmidhuber_stage2_circuit 12  2  75    2 0.25  1.000  0.4   False         12        0.200000           0.500000          0.000000
  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m75_ell2_eps0.25_kappa1.0_rho0.6.npz   kxor_instance_n12_k2_m75_ell2_eps0.25_kappa1.0_rho0.6   /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m75_ell2_eps0.25_kappa1.0_rho0.6.log schmidhuber_stage2_circuit 12  2  75    2 0.25  1.000  0.6   False         12        0.600000           0.000000          1.000000
  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m75_ell2_eps0.25_kappa1.0_rho0.8.npz   kxor_instance_n12_k2_m75_ell2_eps0.25_kappa1.0_rho0.8   /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m75_ell2_eps0.25_kappa1.0_rho0.8.log schmidhuber_stage2_circuit 12  2  75    2 0.25  1.000  0.8   False         12        0.200000           0.166667          0.666667
  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m75_ell2_eps0.25_kappa1.0_rho1.0.npz   kxor_instance_n12_k2_m75_ell2_eps0.25_kappa1.0_rho1.0   /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m75_ell2_eps0.25_kappa1.0_rho1.0.log schmidhuber_stage2_circuit 12  2  75    2 0.25  1.000  1.0   False         12        1.000000           0.000000          1.000000
   /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m78_ell2_eps0.3_kappa1.0_rho0.0.npz    kxor_instance_n12_k2_m78_ell2_eps0.3_kappa1.0_rho0.0    /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m78_ell2_eps0.3_kappa1.0_rho0.0.log schmidhuber_stage2_circuit 12  2  78    2 0.30  1.000  0.0   False         12        0.230769                NaN               NaN
   /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m78_ell2_eps0.3_kappa1.0_rho0.2.npz    kxor_instance_n12_k2_m78_ell2_eps0.3_kappa1.0_rho0.2    /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m78_ell2_eps0.3_kappa1.0_rho0.2.log schmidhuber_stage2_circuit 12  2  78    2 0.30  1.000  0.2   False         12       -0.076923           0.416667          0.166667
   /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m78_ell2_eps0.3_kappa1.0_rho0.4.npz    kxor_instance_n12_k2_m78_ell2_eps0.3_kappa1.0_rho0.4    /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m78_ell2_eps0.3_kappa1.0_rho0.4.log schmidhuber_stage2_circuit 12  2  78    2 0.30  1.000  0.4   False         12        0.000000           0.416667          0.166667
   /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m78_ell2_eps0.3_kappa1.0_rho0.6.npz    kxor_instance_n12_k2_m78_ell2_eps0.3_kappa1.0_rho0.6    /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m78_ell2_eps0.3_kappa1.0_rho0.6.log schmidhuber_stage2_circuit 12  2  78    2 0.30  1.000  0.6   False         12        0.256410           0.333333          0.333333
   /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m78_ell2_eps0.3_kappa1.0_rho0.8.npz    kxor_instance_n12_k2_m78_ell2_eps0.3_kappa1.0_rho0.8    /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m78_ell2_eps0.3_kappa1.0_rho0.8.log schmidhuber_stage2_circuit 12  2  78    2 0.30  1.000  0.8   False         12        0.743590           0.000000          1.000000
   /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m78_ell2_eps0.3_kappa1.0_rho1.0.npz    kxor_instance_n12_k2_m78_ell2_eps0.3_kappa1.0_rho1.0    /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m78_ell2_eps0.3_kappa1.0_rho1.0.log schmidhuber_stage2_circuit 12  2  78    2 0.30  1.000  1.0   False         12        1.000000           0.000000          1.000000
/Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.0.npz kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.0 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.0.log schmidhuber_stage2_circuit 12  2  92    2 0.25  0.875  0.0   False         12        0.086957                NaN               NaN
/Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.2.npz kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.2 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.2.log schmidhuber_stage2_circuit 12  2  92    2 0.25  0.875  0.2   False         12        0.130435           0.333333          0.333333
/Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.4.npz kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.4 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.4.log schmidhuber_stage2_circuit 12  2  92    2 0.25  0.875  0.4   False         12        0.086957           0.250000          0.500000
/Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.6.npz kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.6 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.6.log schmidhuber_stage2_circuit 12  2  92    2 0.25  0.875  0.6   False         12        0.195652           0.333333          0.333333
/Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.8.npz kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.8 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.8.log schmidhuber_stage2_circuit 12  2  92    2 0.25  0.875  0.8   False         12        0.000000           0.250000          0.500000
/Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho1.0.npz kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho1.0 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho1.0.log schmidhuber_stage2_circuit 12  2  92    2 0.25  0.875  1.0   False         12        0.717391           0.083333          0.833333
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m95_ell2_eps0.3_kappa0.875_rho0.0.npz  kxor_instance_n12_k2_m95_ell2_eps0.3_kappa0.875_rho0.0  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m95_ell2_eps0.3_kappa0.875_rho0.0.log schmidhuber_stage2_circuit 12  2  95    2 0.30  0.875  0.0   False         12        0.115789                NaN               NaN
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m95_ell2_eps0.3_kappa0.875_rho0.2.npz  kxor_instance_n12_k2_m95_ell2_eps0.3_kappa0.875_rho0.2  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m95_ell2_eps0.3_kappa0.875_rho0.2.log schmidhuber_stage2_circuit 12  2  95    2 0.30  0.875  0.2   False         12        0.052632           0.500000          0.000000
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m95_ell2_eps0.3_kappa0.875_rho0.4.npz  kxor_instance_n12_k2_m95_ell2_eps0.3_kappa0.875_rho0.4  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m95_ell2_eps0.3_kappa0.875_rho0.4.log schmidhuber_stage2_circuit 12  2  95    2 0.30  0.875  0.4   False         12       -0.136842           0.333333          0.333333
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m95_ell2_eps0.3_kappa0.875_rho0.6.npz  kxor_instance_n12_k2_m95_ell2_eps0.3_kappa0.875_rho0.6  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n12_k2_m95_ell2_eps0.3_kappa0.875_rho0.6.log schmidhuber_stage2_circuit 12  2  95    2 0.30  0.875  0.6   False         12        0.705263           0.000000          1.000000
